linkPVID,  GivenMeanSlope, CalculatedMeanSlope
761986720, -0.039600, -0.000001
792608946, -0.040167, 0.000000
792608938, -0.129333, 0.009138
586499625, 0.029250, -0.027414
586499624, -0.079250, 0.027414
792603850, -0.002750, 0.000000
51810275, -0.193000, 0.027415
554737042, 0.165800, 0.027414
554737041, -0.216800, 0.027415
554737096, -0.056769, 0.027414
554737095, -0.009000, -0.027414
51758466, 0.145500, -0.027414
68097371, 0.015250, -0.027414
80715285, -0.983000, 0.027415
80708077, -0.590000, 0.027415
80708078, -2.943000, -0.000000
762784472, -3.352174, -0.027415
79672835, -3.743821, -0.027415
79672836, -2.962182, 0.027415
80708095, -2.095167, 0.000000
762784469, -2.155524, -0.009139
762784470, -2.220143, 0.000001
762784456, -2.380059, 0.009138
79654851, -0.714286, 0.000000
79942715, -0.485750, 0.000000
51765454, 0.218750, 0.000000
67912996, 1.394000, -0.027416
769172031, 0.267000, 0.000000
572216936, 2.017000, 0.000000
572246844, 0.482714, -0.027413
732990614, -1.411200, -0.027414
732990615, -2.454286, 0.027414
769206629, -1.976333, 0.000001
769206630, -1.042333, -0.027413
554730583, -0.275000, -0.027415
554730588, -0.391000, -0.013707
554730589, -0.212545, 0.027415
762380643, 0.121333, -0.027414
762380644, -0.103200, 0.027414
762380646, -0.331200, 0.000000
762228007, 0.129667, -0.027415
736475879, -0.357571, 0.000000
51931970, -0.302556, 0.027415
762228010, -0.182500, 0.016448
572246781, 0.241100, 0.027412
722513849, -0.725333, 0.027414
722513850, -0.390500, 0.000000
554712535, -0.097400, 0.027412
792662641, -0.244714, -0.013706
792802075, 0.059500, 0.000000
792806325, 0.113000, 0.027410
51867134, -0.039333, 0.000001
554712543, 0.081000, -0.027411
554712619, -0.019000, 0.000000
572246790, 0.180444, -0.009138
783424874, -0.499400, 0.027412
554735922, -0.758200, 0.027414
572246786, 0.304833, 0.027413
554729883, -0.439800, -0.027413
572231401, -0.803500, -0.027414
554712495, -0.144857, -0.027410
572246783, 0.088333, -0.027412
60115048, 0.281500, 0.027411
67944675, -0.832000, -0.027412
83717773, -0.375375, 0.000001
67944706, 0.125667, 0.000000
727337787, -0.161667, 0.000000
727337788, -0.205000, -0.013705
51863402, -0.099833, -0.000001
727337791, -0.067667, 0.027411
716318438, 0.519750, -0.027411
792654652, -0.166667, 0.027411
572246794, -0.141333, 0.027411
554712534, 0.202800, 0.009138
554712707, 0.324500, 0.000000
51734640, 0.773000, 0.027414
773183922, 0.100684, 0.013706
51734665, 0.056083, -0.009136
83708500, -0.046462, 0.027410
727337780, -0.041333, 0.000000
727337781, -0.525600, 0.005482
51833449, 0.111250, 0.009138
586501270, 0.119000, 0.000000
586501276, 0.130000, 0.000000
554733925, -0.148000, 0.000000
586531375, -0.137600, -0.027414
51834514, -0.089500, 0.009138
540638216, -0.130000, -0.027414
554733928, -0.010000, -0.027415
540617279, 0.039500, 0.000000
572226118, 0.036500, 0.027414
67946749, -0.158000, 0.000000
67946747, -0.119500, 0.027415
51932174, -0.256000, 0.000000
51932176, -0.307000, 0.000000
554798281, -0.045000, 0.000000
565392879, -0.069000, 0.000000
547983509, -0.040714, 0.000000
586810468, -3.189750, 0.000000
565391346, -3.099800, 0.000000
779521608, -2.842600, 0.000000
746824096, -0.805200, 0.027413
746230819, -0.751800, 0.027415
565391378, -0.740500, 0.000000
799473685, -0.343000, 0.000000
565391352, -0.603000, 0.000000
53547841, -0.148750, 0.000000
565391351, 0.362250, 0.000000
565391350, -0.442800, 0.000000
565391358, -0.739333, -0.027413
586810441, -1.916500, 0.000000
565391348, -2.123500, 0.027414
53672588, -2.909900, 0.000000
53672543, -2.815000, 0.000000
565391357, -3.011200, 0.000000
60930209, -1.136143, 0.000000
53544841, -1.968333, 0.000000
77319385, 0.328429, 0.000000
565444437, 0.865200, 0.000000
565399919, 1.718000, 0.000000
565399918, 1.211600, 0.000000
554776790, -1.304200, 0.000000
565383822, -0.338053, 0.005483
565399982, -0.903526, 0.003916
746824097, -0.722000, 0.027415
746824098, -0.747778, 0.003916
586810471, -0.762000, 0.027414
586810475, -0.534636, 0.000000
703993890, 0.026333, -0.027414
51810566, -0.729500, -0.009138
51810372, 0.244500, 0.000000
51810207, 0.722000, 0.000000
756568012, 0.829600, 0.027414
51958949, 1.054125, 0.000000
51958889, 1.101833, 0.000000
51960847, 1.402000, 0.000000
764711074, 0.428500, 0.000000
51958721, 0.820000, 0.027415
51958694, 0.564500, 0.000000
51958671, 0.163600, 0.000000
554739123, 0.333000, 0.000000
572225502, 0.171000, -0.027414
51958797, -0.111333, 0.027414
764711082, 0.414143, -0.027414
764711083, -0.214600, -0.027414
572198061, -0.163857, 0.027415
586489018, 0.030667, -0.027415
764711088, 0.078250, 0.000001
764711089, 0.002000, 0.000000
572198053, 0.021000, 0.027415
764711061, -0.014667, -0.009139
586488979, -0.041200, 0.027415
51959196, -0.226500, -0.027415
51959190, 0.010000, 0.000000
51959182, -0.006000, 0.000000
67911020, -0.038500, -0.027414
764692635, 0.038000, -0.027413
764692636, 0.005500, 0.027414
764692622, 0.050000, 0.000000
764692623, -0.007333, -0.027414
764692648, -0.009000, 0.000000
764692649, -0.021333, 0.000000
51960742, -0.041000, 0.000000
764692639, -0.032667, -0.027414
792665153, 0.019333, -0.027414
764692642, 0.086500, -0.027414
764692633, -0.041500, 0.000000
67918492, -0.071500, 0.000000
554739337, 0.062000, -0.027414
572232109, 0.013000, 0.000000
51959238, -0.162333, -0.027415
586533082, 0.197000, 0.010966
586493040, 0.494000, -0.027416
554740240, 0.347667, -0.027415
51961421, -0.036000, 0.013708
51959094, 0.796400, -0.027415
51959046, 1.820500, 0.000000
51959040, 2.096714, 0.027415
51959000, 0.709000, 0.000000
51961305, 0.243333, 0.000000
51961237, -0.026667, 0.000000
764554678, -0.063286, 0.027414
764554670, 0.063667, 0.027415
51959889, -0.029500, -0.013708
783656439, -0.038000, -0.027415
51959686, -0.135500, 0.027415
51959613, -0.177000, 0.000000
51959574, -0.115182, -0.027414
51959511, 0.570333, 0.000000
51961067, -0.232000, 0.000000
51959414, 0.244200, 0.000000
792681514, -0.100000, -0.009138
67942088, -0.536750, 0.000000
67942087, -1.365000, 0.027415
51863187, -0.784750, 0.027414
51863186, -0.084500, -0.027414
572247132, 1.056375, 0.000000
722513846, 0.500000, 0.013707
722513845, 0.065500, 0.000000
565383826, -0.283941, 0.027413
539194916, 0.104000, 0.000000
769172035, 1.037333, 0.027413
586810469, -2.059800, 0.027415
572245503, 0.035000, 0.000000
586485420, 0.630250, 0.000000
762000722, -3.624000, 0.027416
